C1,X1,X2,X3,X4,X5,C2,X6,X7,X8,X9,X10,X11,X12,X13,score,Y
FMCG,0.37359098228663445,0.006299212598425197,0.5555555555555556,0.6571428571428571,0.8542413381123058,ecom,0.6839818837230798,0.01948051948051948,0.8321854835109146,0.20604702805456437,0.0005400752104025794,0.32186597793936067,0.5644423806069679,0.6,1.38461538461538,1
FMCG,0.37359098228663445,0.006299212598425197,0.5555555555555556,0.6571428571428571,0.8542413381123058,ecom,0.6839818837230798,0.01948051948051948,0.8321854835109146,0.20604702805456437,2.0636585951470797e-06,0.32186597793936067,0.5644423806069679,0.6,1.38461538461538,1
Consultancy,0.391304347826087,0.01968503937007874,0.3888888888888889,0.6571428571428571,0.7526881720430108,ecom,0.764488400036972,0.01948051948051948,0.8327819577850696,0.20739013629854805,8.715402845314827e-05,0.32301315847490764,0.677560127523945,0.6,1.07692307692308,1
Building supplies and accessories,0.37681159420289856,0.023622047244094488,0.44444444444444453,0.6571428571428571,0.0,ecom,0.8932895831407709,0.006493506493506494,0.8349048819358547,0.2120938532120306,2.0636585951470797e-06,0.3270307144031368,0.6588255739137847,0.6,1.0,1
Building supplies and accessories,0.37681159420289856,0.023622047244094488,0.44444444444444453,0.6571428571428571,0.0,ecom,0.8932895831407709,0.006493506493506494,0.8349048819358547,0.2120938532120306,2.0636585951470797e-06,0.3270307144031368,0.6588255739137847,0.6,1.0,1
Building supplies and accessories,0.37681159420289856,0.023622047244094488,0.44444444444444453,0.6571428571428571,0.0,ecom,0.8932895831407709,0.006493506493506494,0.8349048819358547,0.2120938532120306,2.0636585951470797e-06,0.3270307144031368,0.6588255739137847,0.6,1.0,1
Other Service Activities,0.3993558776167472,0.011811023622047244,0.6666666666666669,0.6571428571428571,0.8303464755077659,ecom,0.6531564839633978,0.049783549783549784,0.8322675443253678,0.20618918708631176,2.0636585951470797e-06,0.3219873993325383,0.6358942926955385,0.6,1.23076923076923,1
Other Service Activities,0.3993558776167472,0.011811023622047244,0.6666666666666669,0.6571428571428571,0.8303464755077659,ecom,0.6531564839633978,0.049783549783549784,0.8322675443253678,0.20618918708631176,0.001165701943421852,0.3219873993325383,0.6358942926955385,0.6,1.23076923076923,1
Other Service Activities,0.3993558776167472,0.011811023622047244,0.6666666666666669,0.6571428571428571,0.8303464755077659,ecom,0.6531564839633978,0.049783549783549784,0.8322675443253678,0.20618918708631176,2.0636585951470797e-06,0.3219873993325383,0.6358942926955385,0.6,1.23076923076923,1
"Computers,Mobile & related Accessories",0.428341384863124,0.015748031496062992,0.5555555555555556,0.6571428571428571,0.8805256869772998,ecom,0.717487753027082,0.017316017316017316,0.832616646940045,0.20691310537371055,0.001210668180333986,0.32260571507317226,0.6890275714133574,0.55,1.25,1
"Home, Furnishing and Decor",0.46537842190016104,0.004724409448818898,0.6666666666666669,0.6571428571428571,0.8207885304659498,ecom,0.45702005730659023,0.01948051948051948,0.8326342248536774,0.20700915512873191,2.0636585951470797e-06,0.3226877534419323,0.6613612921007171,0.55,1.4166666666666698,1
"Home, Furnishing and Decor",0.46537842190016104,0.004724409448818898,0.6666666666666669,0.6571428571428571,0.8207885304659498,ecom,0.45702005730659023,0.01948051948051948,0.8326342248536774,0.20700915512873191,2.0636585951470797e-06,0.3226877534419323,0.6613612921007171,0.55,1.4166666666666698,1
